cx,cy,angle,tx,ty,hit,miss
4,8,114,2,11,1,0
19,8,150,9,17,0,1
18,4,115,15,15,1,0
20,8,154,2,10,0,1
2,5,29,1,19,0,1
6,2,31,15,13,0,1
13,2,15,16,17,0,1
11,7,145,5,13,1,0
13,9,130,9,15,1,0
12,4,39,17,10,1,0
12,6,166,2,10,1,0
7,7,96,18,16,0,1
13,5,0,6,10,0,1
20,3,77,8,12,0,1
15,6,160,2,10,1,0
16,5,29,4,14,0,1
15,5,87,3,17,0,1
2,1,21,6,13,0,1
13,3,91,3,11,0,1
12,9,75,15,11,0,1
16,0,16,7,12,0,1
2,6,52,9,18,1,0
19,6,123,12,19,1,0
8,4,104,12,16,0,1
5,2,61,9,15,0,1
13,1,26,13,11,0,1
13,0,127,10,14,0,1
11,2,2,7,15,0,1
7,2,47,14,11,1,0
20,5,47,18,11,0,1
13,0,106,10,17,1,0
14,1,123,6,14,1,0
12,8,148,12,17,0,1
8,5,72,6,19,0,1
1,1,67,9,18,1,0
10,1,135,7,12,0,1
13,4,72,16,12,1,0
18,8,160,6,18,0,1
11,9,160,4,12,1,0
4,7,13,19,13,0,1
11,7,100,0,18,0,1
2,6,1,11,10,0,1
4,9,73,6,11,1,0
13,7,84,12,12,1,0
4,8,80,4,13,1,0
20,8,110,18,17,1,0
0,4,167,0,12,0,1
2,0,117,15,17,0,1
13,7,117,14,11,0,1
9,9,138,6,14,1,0
0,8,131,13,10,0,1
19,5,125,14,14,1,0
15,7,139,10,11,1,0
1,2,90,0,17,1,0
20,0,6,7,10,0,1
11,4,45,20,15,1,0
7,0,43,17,12,1,0
2,5,74,4,17,1,0
7,8,91,5,16,1,0
3,6,88,15,10,0,1
17,5,41,4,15,0,1
13,2,0,4,19,0,1
18,3,70,5,16,0,1
18,7,60,14,18,0,1
6,2,112,2,16,1,0
0,4,51,12,16,1,0
11,9,32,18,14,1,0
1,1,144,11,15,0,1
2,3,28,17,17,0,1
10,0,80,12,12,1,0
1,9,45,20,18,0,1
4,7,142,1,18,0,1
12,0,153,5,15,0,1
0,7,67,6,16,0,1
11,1,31,0,15,0,1
14,8,177,15,17,0,1
16,1,20,10,15,0,1
15,0,39,16,14,0,1
5,2,40,20,13,1,0
19,5,6,15,16,0,1
11,9,35,12,19,0,1
0,0,82,16,10,0,1
3,8,12,4,16,0,1
13,1,174,4,12,0,1
18,9,162,16,11,1,0
5,7,144,1,16,0,1
8,2,58,17,15,1,0
5,4,155,4,17,0,1
4,9,143,6,10,0,1
12,8,179,19,17,0,1
3,7,39,11,13,1,0
15,3,80,16,10,1,0
1,9,10,13,11,1,0
6,6,10,19,14,0,1
13,8,128,3,18,1,0
3,7,31,16,17,1,0
2,3,76,16,11,0,1
15,9,81,17,13,1,0
12,7,169,10,17,0,1
13,9,92,9,11,0,1
15,6,81,12,10,0,1
13,9,170,4,12,1,0
0,1,180,13,13,0,1
17,0,86,16,18,0,1
2,4,146,3,18,0,1
1,1,156,0,14,0,1
5,4,51,16,18,1,0
9,0,5,0,14,0,1
10,5,140,20,14,0,1
7,8,35,8,19,0,1
11,2,133,1,13,1,0
3,2,32,14,10,1,0
3,2,22,17,10,0,1
7,3,11,1,18,0,1
16,2,130,4,19,1,0
8,6,77,14,18,0,1
6,4,117,2,10,1,0
6,9,26,8,10,1,0
5,4,60,12,17,1,0
11,5,22,18,16,0,1
16,6,150,20,13,0,1
3,5,130,17,11,0,1
1,9,3,4,11,1,0
1,3,105,0,10,1,0
10,2,18,4,12,0,1
0,3,147,2,17,0,1
11,6,158,7,18,0,1
1,5,46,10,14,1,0
12,3,94,12,14,1,0
13,7,95,7,11,0,1
10,9,24,18,13,1,0
4,9,69,6,11,1,0
4,6,46,6,19,0,1
20,1,132,4,17,1,0
17,9,38,20,10,1,0
6,7,52,12,11,0,1
5,0,51,7,13,0,1
12,4,172,15,19,0,1
14,3,132,6,10,1,0
2,9,31,15,15,1,0
19,9,167,2,13,1,0
4,8,162,11,12,0,1
7,8,10,0,19,0,1
5,7,166,20,13,0,1
4,9,158,5,11,0,1
10,6,32,20,11,1,0
3,1,142,14,12,0,1
2,1,139,19,14,0,1
0,8,96,0,11,1,0
8,6,58,14,19,1,0
11,0,50,18,13,0,1
17,6,157,8,13,0,1
13,0,139,15,15,0,1
20,6,97,20,13,1,0
15,1,25,5,19,0,1
20,4,140,6,16,1,0
0,4,79,1,10,1,0
3,3,25,15,16,0,1
2,8,8,17,13,0,1
17,6,78,7,19,0,1
8,3,167,4,12,0,1
15,3,145,19,19,0,1
13,4,177,1,14,0,1
7,9,140,6,10,1,0
16,6,82,17,16,1,0
8,4,72,12,19,1,0
6,6,69,20,16,0,1
0,6,142,2,14,0,1
6,4,110,2,13,1,0
16,4,100,17,19,0,1
9,2,129,4,12,0,1
2,9,134,1,12,1,0
20,7,144,4,19,1,0
8,1,77,11,12,1,0
14,5,10,10,11,0,1
10,5,74,14,15,1,0
10,5,79,10,10,1,0
3,0,96,2,16,1,0
14,7,169,4,12,0,1
3,4,20,18,19,0,1
14,1,84,16,16,1,0
10,7,37,16,10,1,0
15,2,0,2,18,0,1
11,6,53,12,10,1,0
19,3,145,0,17,1,0
0,6,39,6,11,1,0
16,8,41,18,12,1,0
15,1,123,7,16,1,0
5,1,13,16,10,0,1
15,2,85,18,18,1,0
19,4,24,4,16,0,1
10,2,114,10,18,0,1
13,3,84,13,19,1,0
5,1,143,8,17,0,1
0,4,45,18,12,0,1
11,9,64,14,18,1,0
8,9,42,12,10,1,0
2,2,99,13,11,0,1
14,8,155,3,12,1,0
8,3,137,1,17,0,1
6,8,74,18,19,0,1
3,2,42,9,10,1,0
6,6,31,17,14,1,0
10,3,90,11,15,1,0
9,6,154,0,18,0,1
10,0,111,4,11,1,0
13,5,164,20,14,0,1
14,1,150,9,15,0,1
3,8,50,18,10,0,1
0,7,60,8,18,1,0
15,1,21,5,18,0,1
0,7,40,7,15,1,0
12,9,9,10,10,1,0
3,6,143,1,14,0,1
7,7,133,0,16,1,0
9,5,144,0,13,1,0
18,0,94,11,15,0,1
18,9,143,20,19,0,1
14,2,101,13,15,1,0
14,1,95,11,14,1,0
11,2,105,6,13,1,0
18,3,0,11,12,0,1
9,9,176,6,16,0,1
16,3,79,18,10,1,0
15,2,69,6,15,0,1
9,9,110,7,10,1,0
3,4,69,5,12,1,0
8,9,73,9,12,1,0
8,1,142,17,10,0,1
1,0,32,12,15,0,1
3,9,72,3,13,1,0
3,5,44,9,11,1,0
14,7,51,20,17,1,0
8,7,48,14,12,1,0
12,3,74,18,15,0,1
12,1,107,8,10,1,0
6,0,133,16,17,0,1
14,9,107,10,18,1,0
10,4,61,16,16,1,0
3,4,76,6,11,1,0
8,0,99,12,13,0,1
18,9,3,2,10,1,0
14,8,59,8,16,0,1
17,9,13,1,13,0,1
8,8,84,11,12,0,1
4,8,138,1,13,1,0
19,4,52,14,14,0,1
1,7,63,6,14,1,0
5,2,115,7,10,0,1
19,4,78,20,10,1,0
18,3,76,15,16,0,1
14,3,79,9,11,0,1
5,2,1,16,17,0,1
9,6,151,0,17,0,1
11,1,65,20,19,1,0
6,9,34,16,14,1,0
0,6,90,9,16,0,1
1,0,63,13,11,0,1
12,7,152,6,11,1,0
8,0,44,15,19,0,1
20,1,15,19,10,0,1
16,3,40,5,15,0,1
16,2,28,11,16,0,1
8,9,80,7,10,1,0
1,0,5,7,15,0,1
20,1,72,8,17,0,1
3,6,59,8,14,1,0
18,9,174,3,12,1,0
14,9,144,6,17,1,0
10,5,178,19,19,0,1
2,1,154,17,19,0,1
14,7,137,20,15,0,1
11,0,21,14,17,0,1
7,8,14,3,16,0,1
14,5,54,2,15,0,1
12,6,52,18,16,1,0
20,4,19,6,14,0,1
0,2,124,20,19,0,1
8,6,166,13,17,0,1
15,5,164,20,17,0,1
13,5,167,20,17,0,1
11,7,165,13,18,0,1
7,3,69,11,13,1,0
15,4,157,2,11,1,0
9,3,7,1,15,0,1
14,4,79,15,16,1,0
18,6,134,11,14,1,0
16,5,99,17,15,0,1
14,2,136,8,10,1,0
7,8,175,5,17,0,1
9,0,87,17,17,0,1
17,4,26,19,15,0,1
7,6,86,20,18,0,1
3,1,143,2,19,0,1
5,9,4,9,11,1,0
6,7,128,0,14,1,0
10,0,159,3,10,0,1
7,3,79,8,10,1,0
15,1,92,13,18,1,0
4,9,33,12,15,1,0
9,9,77,9,10,1,0
0,7,12,4,11,0,1
19,7,103,9,19,0,1
17,3,76,4,19,0,1
10,4,167,12,18,0,1
16,7,56,8,14,0,1
13,3,138,14,15,0,1
6,9,122,9,19,0,1
15,5,46,9,18,0,1
0,3,56,11,18,1,0
5,5,85,7,14,1,0
12,4,21,20,10,0,1
9,8,61,11,11,1,0
15,4,114,9,13,1,0
16,3,110,12,14,1,0
19,0,65,18,18,0,1
14,8,37,18,11,1,0
16,3,60,18,10,1,0
12,7,126,6,17,1,0
17,6,179,9,13,0,1
2,1,38,20,13,1,0
9,5,144,10,15,0,1
10,9,89,13,11,0,1
8,5,105,10,10,0,1
2,0,80,18,12,0,1
16,5,141,6,13,1,0
4,9,114,12,12,0,1
8,6,83,10,14,1,0
20,6,84,20,13,1,0
4,8,99,2,19,1,0
20,9,106,19,18,1,0
5,2,170,1,13,0,1
18,0,61,18,11,0,1
18,1,80,20,16,1,0
3,8,83,1,11,0,1
1,3,64,7,11,1,0
20,1,135,3,11,0,1
3,2,96,19,14,0,1
14,4,74,19,19,1,0
5,8,153,12,15,0,1
0,9,8,9,13,0,1
11,3,52,10,16,0,1
19,4,98,18,12,1,0
20,2,4,2,12,0,1
12,3,80,0,10,0,1
19,8,179,20,16,0,1
11,5,37,10,15,0,1
13,9,101,7,19,0,1
4,7,55,7,15,0,1
11,9,139,5,11,0,1
9,8,42,15,16,1,0
14,1,111,20,17,0,1
14,5,145,9,11,0,1
3,1,63,13,17,1,0
14,1,38,10,10,0,1
17,8,97,9,14,0,1
14,3,74,15,10,1,0
4,4,72,8,11,1,0
6,3,153,10,12,0,1
5,7,98,6,10,1,0
13,8,180,7,17,0,1
6,0,77,13,14,0,1
14,9,95,7,12,0,1
9,7,129,1,16,1,0
15,0,103,16,18,0,1
8,7,12,10,17,0,1
3,5,60,10,17,1,0
17,6,140,6,13,1,0
12,2,7,1,11,0,1
15,8,139,10,11,1,0
1,6,89,0,17,1,0
4,3,69,5,11,1,0
1,0,65,5,19,0,1
19,3,129,7,14,0,1
16,2,80,16,13,1,0
17,1,65,6,12,0,1
7,6,170,7,14,0,1
8,5,7,16,19,0,1
4,6,29,3,13,0,1
5,3,51,17,15,1,0
7,6,35,19,15,1,0
5,0,166,15,14,0,1
15,6,146,20,17,0,1
9,4,91,5,19,0,1
8,7,43,13,13,1,0
17,8,140,14,12,1,0
13,7,162,5,10,1,0
19,8,68,9,18,0,1
4,7,20,20,14,1,0
2,9,68,4,15,1,0
20,9,164,7,19,0,1
13,8,87,13,16,1,0
12,7,173,3,18,0,1
14,4,173,3,15,0,1
15,5,135,12,16,0,1
20,5,76,20,11,1,0
11,2,126,1,17,1,0
7,9,135,3,13,1,0
11,9,117,5,19,1,0
18,6,28,12,13,0,1
17,3,125,15,13,0,1
4,2,69,10,12,0,1
9,6,156,13,18,0,1
9,9,117,4,18,1,0
0,5,84,3,13,0,1
1,6,8,19,10,1,0
6,9,0,4,11,1,0
3,1,164,7,15,0,1
16,9,154,2,16,1,0
16,6,113,3,19,0,1
18,3,81,2,11,0,1
2,8,87,4,16,1,0
11,7,119,7,15,1,0
2,3,22,19,12,1,0
19,1,1,15,10,0,1
4,0,52,5,18,0,1
6,1,39,17,10,1,0
0,7,133,12,14,0,1
14,2,124,6,11,1,0
6,7,7,10,16,0,1
14,7,91,15,18,1,0
6,8,141,15,17,0,1
8,9,92,7,14,1,0
8,8,74,10,19,1,0
6,6,104,1,16,0,1
12,1,118,6,15,1,0
15,1,11,2,18,0,1
0,8,83,2,15,1,0
20,2,60,11,10,0,1
20,7,81,17,16,0,1
1,8,4,5,18,0,1
7,0,56,14,10,1,0
18,7,145,7,13,1,0
5,4,74,19,14,0,1
6,3,59,14,10,0,1
17,9,148,13,10,1,0
10,2,102,16,14,0,1
13,4,72,15,19,0,1
1,0,56,14,16,1,0
15,4,72,19,11,1,0
3,5,12,2,12,0,1
13,5,23,0,17,0,1
5,8,28,14,13,1,0
13,6,11,6,18,0,1
15,2,58,14,17,0,1
18,0,99,1,12,0,1
2,3,57,9,16,1,0
9,6,12,20,10,1,0
12,6,71,0,16,0,1
0,1,144,0,14,0,1
6,3,60,0,11,0,1
18,7,106,10,12,0,1
8,8,138,1,16,1,0
5,3,150,7,16,0,1
3,5,64,18,10,0,1
8,2,112,8,14,0,1
17,1,152,4,19,0,1
15,4,62,17,10,1,0
19,1,59,9,12,0,1
10,6,107,4,19,1,0
9,9,121,3,17,1,0
13,3,35,5,18,0,1
15,8,152,1,15,1,0
0,4,109,0,13,0,1
7,4,165,16,13,0,1
13,1,151,16,13,0,1
8,1,148,12,16,0,1
7,6,61,14,18,1,0
2,2,17,0,16,0,1
9,8,28,17,12,1,0
10,6,160,5,12,0,1
14,5,133,14,17,0,1
2,1,89,2,16,1,0
12,6,48,10,17,0,1
14,6,170,13,11,0,1
13,9,135,1,12,0,1
8,9,104,6,11,1,0
2,0,76,6,18,1,0
16,0,170,10,18,0,1
17,5,58,19,18,0,1
12,1,98,9,10,1,0
5,7,138,3,18,0,1
15,8,92,15,10,1,0
13,6,48,4,15,0,1
0,4,176,7,15,0,1
0,1,152,13,19,0,1
3,0,130,4,12,0,1
9,8,38,15,13,1,0
5,6,87,10,10,0,1
20,7,54,13,15,0,1
20,4,107,18,13,1,0
12,3,147,2,19,0,1
20,4,150,0,16,1,0
9,5,103,5,15,1,0
19,1,146,18,15,0,1
20,5,117,15,18,1,0
3,6,40,17,17,1,0
0,7,98,19,11,0,1
14,2,145,1,11,1,0
13,7,157,3,10,1,0
6,1,45,14,10,1,0
0,2,178,12,11,0,1
16,8,58,7,19,0,1
17,3,99,6,16,0,1
15,1,157,18,12,0,1
2,0,57,9,18,0,1
12,7,154,1,11,1,0
2,3,90,2,15,1,0
1,3,128,20,16,0,1
19,1,130,2,19,1,0
12,5,156,3,11,1,0
4,4,56,14,19,1,0
4,7,63,0,15,0,1
20,7,103,5,17,0,1
1,7,56,7,19,1,0
7,7,55,16,18,1,0
2,1,121,11,13,0,1
18,5,109,14,15,1,0
8,6,123,2,16,1,0
2,5,109,5,13,0,1
19,2,132,9,15,1,0
19,6,134,13,14,1,0
10,9,4,13,10,1,0
7,8,92,20,13,0,1
9,8,101,13,15,0,1
